lat,lng,lift,cell,stack_finish,leach_start,leach_end,leach_days,tons_per_block,ounces_per_block,rmax
65.012,-147.35142857142858,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.012,-147.35061224489797,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01226530612244,-147.3530612244898,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01226530612244,-147.3522448979592,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01226530612244,-147.35142857142858,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01226530612244,-147.35061224489797,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0125306122449,-147.35469387755103,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0125306122449,-147.35387755102042,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0125306122449,-147.3530612244898,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0125306122449,-147.3522448979592,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0125306122449,-147.35142857142858,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0125306122449,-147.35061224489797,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0125306122449,-147.34979591836733,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01279591836735,-147.35632653061225,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01279591836735,-147.35551020408164,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01279591836735,-147.35469387755103,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01279591836735,-147.35387755102042,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01279591836735,-147.3530612244898,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01279591836735,-147.3522448979592,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01279591836735,-147.35142857142858,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01279591836735,-147.35061224489797,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01279591836735,-147.34979591836733,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01279591836735,-147.34897959183672,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0130612244898,-147.35632653061225,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0130612244898,-147.35551020408164,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0130612244898,-147.35469387755103,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0130612244898,-147.35387755102042,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0130612244898,-147.3530612244898,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0130612244898,-147.3522448979592,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0130612244898,-147.35142857142858,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0130612244898,-147.35061224489797,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0130612244898,-147.34979591836733,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.0130612244898,-147.34897959183672,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01332653061225,-147.35632653061225,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01332653061225,-147.35551020408164,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01332653061225,-147.35469387755103,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01332653061225,-147.35387755102042,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
65.01332653061225,-147.3530612244898,1,1,2019-03-27,2019-03-30,2019-07-28,120 days,1994.4834364261171,16.80988672852234,0.7060017225509162
